Old Equipment ID (Sheet),New Equipment ID (Master),Equipment Name,Source
111.CP.400,111.CP400,Crusher Compressor,old-sheet+master
111.HC.100,111.HC100,Limestone Crusher,old-sheet+master
321.FN.125,321.FN125,Sealing Air Fan,old-sheet+master
321.FN.400,321.FN400,Raw Mill Fan,old-sheet+master
321.MD.140,321.MD140,Raw Mill Drive,old-sheet+master
321.MD.152,321.MD152,Raw Mill Separator Main Drive,old-sheet+master
322.FN.125,322.FN125,Sealing Air Fan,old-sheet+master
322.FN.400,322.FN400,Raw Mill Fan,old-sheet+master
322.MD.140,322.MD140,Raw Mill Drive,old-sheet+master
331.CP.280,331.CP280,GCT Compressor,old-sheet+master
331.CP.281,331.CP281,GCT Compressor,old-sheet+master
331.CP.282,331.CP282,GCT Compressor,old-sheet+master
331.FN.110,331.FN110,ID FAN,old-sheet+master
331.FN.400,331.FN400,Ep Filter Fan,old-sheet+master
331.WI.210,331.WI210,Condition Tower m01,old-sheet+master
331.WI.211,331.WI211,Condition Tower m02,old-sheet+master
332.CP.281,332.CP281,GCT Compressor,old-sheet+master
332.CP.282,332.CP282,GCT Compressor,old-sheet+master
332.FN.110,332.FN110,ID FAN,old-sheet+master
332.FN.400,332.FN400,Ep Filter Fan,old-sheet+master
332.WI.210,332.WI210,Condition Tower m01,old-sheet+master
332.WI.211,332.WI211,Condition Tower m02,old-sheet+master
341.BE.040,341.BE040,Bucket elevator m01,old-sheet
341.BL.300,341.BL300,CF Silo Blower,old-sheet+master
341.BL.305,341.BL305,CF Silo Blower,old-sheet+master
341.BL.310,341.BL310,CF Silo Blower,old-sheet+master
341.FN.315,341.FN315,CF Silo Areation,old-sheet+master
341.FN.316,341.FN316,CF Silo Areation standby,old-sheet+master
342.BE.041,342.BE041,Bucket elevator m02,old-sheet
342.BE.050,342.BE050,Bucket elevator m01,old-sheet
342.BE.051,342.BE051,Bucket elevator m02,old-sheet+master
342.BL.300,342.BL300,BL300,old-sheet+master
342.BL.305,342.BL305,BL305,old-sheet+master
342.BL.310,342.BL310,BL310,old-sheet+master
342.FN.315,342.FN315,CF Silo Areation,old-sheet+master
351.BE.340,351.BE340,Bucket elevator m01,old-sheet
351.BE.341,351.BE341,Bucket elevator m02,old-sheet+master
351.BL.110,351.BL110,Blower,old-sheet+master
352.BE.340,352.BE340,Bucket elevator m01,old-sheet
352.BE.341,352.BE341,Bucket elevator m02,old-sheet+master
352.BL.110,352.BL110,BL110,old-sheet+master
431.FN.171,431.FN171,Kiln inlet sealing Fan,old-sheet+master
431.FN.176,431.FN176,Kiln outlet sealing Fan,old-sheet+master
431.FN.560,431.FN560,Primary Air Fan,old-sheet+master
431.MD.140,431.MD140,Kiln Drive M01 Master RHS,old-sheet+master
431.MD.160,431.MD160,Kiln Drive M02 Slave LHS,old-sheet+master
432.FN.171,432.FN171,Kiln inlet sealing Fan,old-sheet+master
432.FN.176,432.FN176,Kiln outlet sealing Fan,old-sheet+master
432.FN.560,432.FN560,Primary Air Fan,old-sheet+master
432.MD.140,432.MD140,Kiln Drive M01 Master RHS,old-sheet+master
432.MD.160,432.MD160,Kiln Drive M02 Slave LHS,old-sheet+master
441.CR.400,441.CR400,Clinker Crusher,old-sheet+master
441.FN.300,441.FN300,Cooler Fan,old-sheet+master
441.FN.305,441.FN305,Cooler Fan,old-sheet+master
441.FN.310,441.FN310,Cooler Fan,old-sheet+master
441.FN.315,441.FN315,Cooler Fan,old-sheet+master
441.FN.325,441.FN325,Cooler Fan,old-sheet+master
441.FN.335,441.FN335,Cooler Fan,old-sheet+master
441.FN.340,441.FN340,Cooler Fan,old-sheet+master
441.FN.345,441.FN345,Cooler Fan,old-sheet+master
441.FN.350,441.FN350,Cooler Fan,old-sheet+master
441.FN.590,441.FN590,Excess Air Fan,old-sheet+master
442.CR.400,442.CR400,Clinker Crusher,old-sheet+master
442.FN.300,442.FN300,Cooler Fan,old-sheet+master
442.FN.305,442.FN305,Cooler Fan,old-sheet+master
442.FN.310,442.FN310,Cooler Fan,old-sheet+master
442.FN.315,442.FN315,Cooler Fan,old-sheet+master
