#,VIB ID,Equipment ID,Point (unmatched only),Month,Date 1,Gs 1,Date 2,Gs 2
1,,213.HC100,Crusher DE,2026-05,2026-05-13,0.14,,
2,,213.HC100,Crusher NDE,2026-05,2026-05-13,0.099,,
3,Vb-213.HC100-MDE-SPM,213.HC100,,2026-05,2026-05-13,0.291,,
4,Vb-213.HC100-MNDE-SPM,213.HC100,,2026-05,2026-05-13,0.193,,
5,,531.BE220,Shaft 1 inboard  DE,2026-05,2026-05-13,0.068,,
6,,531.BE220,Shaft 2  inboard  DE,2026-05,2026-05-13,0.162,,
7,,531.BE220,Shaft 2  outboard NDE,2026-05,2026-05-13,0.096,,
8,,531.BE220,Bearing DE,2026-05,2026-05-13,0.012,,
9,,531.BE220,Bearing NDE,2026-05,2026-05-13,0.116,,
10,Vb-531.BE220-MDE-SPM,531.BE220,,2026-05,2026-05-13,0.048,,
11,Vb-531.BE220-MNDE-SPM,531.BE220,,2026-05,2026-05-13,0.079,,
12,,531.FN242,Motor NDE,2026-04,2026-04-23,0.121,,
13,,531.FN242,Motor DE,2026-04,2026-04-23,0.106,,
14,,531.FN242,Fan DE,2026-04,2026-04-23,0.453,,
15,,531.FN242,Fan NDE,2026-04,2026-04-23,0.671,,
16,,531.FN242,Motor NDE,2026-05,2026-05-13,0.06,,
17,,531.FN242,Motor DE,2026-05,2026-05-13,0.079,,
18,,531.FN242,Fan DE,2026-05,2026-05-13,0.852,,
19,,531.FN242,Fan NDE,2026-05,2026-05-13,0.698,,
20,,531.FN380,Fan NDE,2026-04,2026-04-23,1.651,,
21,Vb-531.FN380-FNDE-SPM,531.FN380,,2026-04,2026-04-23,0.166,,
22,Vb-531.FN380-MDE-SPM,531.FN380,,2026-04,2026-04-23,0.142,,
23,Vb-531.FN380-MNDE-SPM,531.FN380,,2026-04,2026-04-23,0.188,,
24,,531.FN380,Fan NDE,2026-05,2026-05-13,0.028,,
25,Vb-531.FN380-FNDE-SPM,531.FN380,,2026-05,2026-05-13,0.551,,
26,Vb-531.FN380-MDE-SPM,531.FN380,,2026-05,2026-05-13,0.379,,
27,Vb-531.FN380-MNDE-SPM,531.FN380,,2026-05,2026-05-13,0.403,,
28,,531.FN530,Fan NDE,2026-04,2026-04-23,1.369,,
29,Vb-531.FN530-FNDE-SPM,531.FN530,,2026-04,2026-04-23,0.751,,
30,Vb-531.FN530-MDE-SPM,531.FN530,,2026-04,2026-04-23,0.371,,
31,Vb-531.FN530-MNDE-SPM,531.FN530,,2026-04,2026-04-23,0.228,,
32,,531.FN530,Fan NDE,2026-05,2026-05-13,0.416,,
33,Vb-531.FN530-FNDE-SPM,531.FN530,,2026-05,2026-05-13,0.205,,
34,Vb-531.FN530-MDE-SPM,531.FN530,,2026-05,2026-05-13,0.071,,
35,Vb-531.FN530-MNDE-SPM,531.FN530,,2026-05,2026-05-13,0.028,,
36,Vb-531.MD140-MDE-SPM,531.MD140,,2026-04,2026-04-27,0.289,,
37,Vb-531.MD140-MNDE-SPM,531.MD140,,2026-04,2026-04-27,0.862,,
38,Vb-531.MD140-S1DE-SPM,531.MD140,,2026-04,2026-04-27,0.129,,
39,Vb-531.MD140-S1NDE-SPM,531.MD140,,2026-04,2026-04-27,0.269,,
40,Vb-531.MD140-S2DE-SPM,531.MD140,,2026-04,2026-04-27,0.055,,
41,Vb-531.MD140-S2NDE-SPM,531.MD140,,2026-04,2026-04-27,0.138,,
