#,VIB ID,Equipment ID,Date,Gs
1,Vb-531.MD140-MNDE-SPM,531.MD140,2026-04-27,0.862
2,Vb-531.MD140-MDE-SPM,531.MD140,2026-04-27,0.289
3,Vb-531.MD140-S1DE-SPM,531.MD140,2026-04-27,0.129
4,Vb-531.MD140-S1NDE-SPM,531.MD140,2026-04-27,0.269
5,Vb-531.MD140-S2DE-SPM,531.MD140,2026-04-27,0.055
6,Vb-531.MD140-S2NDE-SPM,531.MD140,2026-04-27,0.138
7,Vb-531.MD140-S3DE-SPM,531.MD140,2026-04-27,0.052
8,Vb-531.MD140-S3NDE-SPM,531.MD140,2026-04-27,0.029
9,Vb-531.MD140-S4DE-SPM,531.MD140,2026-04-27,0.063
10,Vb-531.MD140-S4NDE-SPM,531.MD140,2026-04-27,0.099
11,Vb-531.FN380-MNDE-SPM,531.FN380,2026-04-23,0.188
12,Vb-531.FN380-MDE-SPM,531.FN380,2026-04-23,0.142
13,Vb-531.FN380-FNDE-SPM,531.FN380,2026-04-23,0.166
14,,531.FN380,2026-04-23,1.651
15,Vb-531.FN530-MNDE-SPM,531.FN530,2026-04-23,0.228
16,Vb-531.FN530-MDE-SPM,531.FN530,2026-04-23,0.371
17,Vb-531.FN530-FNDE-SPM,531.FN530,2026-04-23,0.751
18,,531.FN530,2026-04-23,1.369
19,,531.FN242,2026-04-23,0.121
20,,531.FN242,2026-04-23,0.106
21,,531.FN242,2026-04-23,0.453
22,,531.FN242,2026-04-23,0.671
23,Vb-531.MD302-MNDE-SPM,531.MD302,2026-04-23,0.302
24,Vb-531.MD302-MDE-SPM,531.MD302,2026-04-23,0.203
25,Vb-531.MD302-S1DE-SPM,531.MD302,2026-04-23,0.39
26,Vb-531.MD302-S1NDE-SPM,531.MD302,2026-04-23,0.532
27,Vb-531.MD302-S2DE-SPM,531.MD302,2026-04-23,0.195
28,Vb-531.MD302-S2NDE-SPM,531.MD302,2026-04-23,0.203
29,Vb-532.MD140-MNDE-SPM,532.MD140,2026-04-23,0.566
30,Vb-532.MD140-MDE-SPM,532.MD140,2026-04-23,1.864
31,Vb-532.MD140-S1DE-SPM,532.MD140,2026-04-23,1.78
32,Vb-532.MD140-S1NDE-SPM,532.MD140,2026-04-23,9.908
33,Vb-532.MD140-S2DE-SPM,532.MD140,2026-04-23,0.973
34,Vb-532.MD140-S2NDE-SPM,532.MD140,2026-04-23,2.508
35,Vb-532.MD140-S3DE-SPM,532.MD140,2026-04-23,0.674
36,Vb-532.MD140-S3NDE-SPM,532.MD140,2026-04-23,1.653
37,Vb-532.MD140-S4DE-SPM,532.MD140,2026-04-23,0.883
38,Vb-532.MD140-S4NDE-SPM,532.MD140,2026-04-23,1.312
39,Vb-532.FN380-MNDE-SPM,532.FN380,2026-04-27,0.159
40,Vb-532.FN380-MDE-SPM,532.FN380,2026-04-27,0.224
41,Vb-532.FN380-FNDE-SPM,532.FN380,2026-04-27,1.098
42,,532.FN380,2026-04-27,0.328
43,Vb-532.FN530-MNDE-SPM,532.FN530,2026-04-23,0.108
44,Vb-532.FN530-MDE-SPM,532.FN530,2026-04-23,0.627
45,Vb-532.FN530-FNDE-SPM,532.FN530,2026-04-23,1.132
46,,532.FN530,2026-04-23,0.178
47,,532.FN242,2026-03-17,0.093
48,,532.FN242,2026-03-17,0.107
49,,532.FN242,2026-03-17,0.87
50,,532.FN242,2026-03-17,0.71
51,Vb-532.BE220-MNDE-SPM,532.BE220,2026-04-23,0.062
52,Vb-532.BE220-MDE-SPM,532.BE220,2026-04-23,0.014
53,,532.BE220,2026-04-23,0.223
54,,532.BE220,2026-04-23,0.494
55,,532.BE220,2026-04-23,0.6
56,,532.BE220,2026-04-23,0.146
57,,532.BE220,2026-04-23,0.134
58,Vb-532.MD302-MNDE-SPM,532.MD302,2026-04-23,0.456
59,Vb-532.MD302-MDE-SPM,532.MD302,2026-04-23,0.174
60,Vb-532.MD302-S1DE-SPM,532.MD302,2026-04-23,0.381
61,Vb-532.MD302-S1NDE-SPM,532.MD302,2026-04-23,0.435
62,Vb-532.MD302-S2DE-SPM,532.MD302,2026-04-23,0.206
63,Vb-532.MD302-S2NDE-SPM,532.MD302,2026-04-23,0.28
64,Vb-533.MD140-MNDE-SPM,533.MD140,2026-04-22,1.751
65,Vb-533.MD140-MDE-SPM,533.MD140,2026-04-22,0.72
66,Vb-533.MD140-S1DE-SPM,533.MD140,2026-04-22,0.802
67,Vb-533.MD140-S1NDE-SPM,533.MD140,2026-04-22,2.561
68,Vb-533.MD140-S2DE-SPM,533.MD140,2026-04-22,0.497
69,Vb-533.MD140-S2NDE-SPM,533.MD140,2026-04-22,1.172
70,Vb-533.MD140-S3DE-SPM,533.MD140,2026-04-22,0.475
71,Vb-533.MD140-S3NDE-SPM,533.MD140,2026-04-22,0.947
72,Vb-533.MD140-S4DE-SPM,533.MD140,2026-04-22,0.574
73,Vb-533.MD140-S4NDE-SPM,533.MD140,2026-04-22,0.728
74,Vb-533.FN350-MNDE-SPM,533.FN350,2026-04-22,0.104
75,Vb-533.FN350-MDE-SPM,533.FN350,2026-04-22,0.448
76,Vb-533.FN350-FNDE-SPM,533.FN350,2026-04-22,0.265
77,,533.FN350,2026-04-22,1.056
78,Vb-533.FN530-MNDE-SPM,533.FN530,2026-04-22,0.064
79,Vb-533.FN530-MDE-SPM,533.FN530,2026-04-22,0.165
80,Vb-533.FN530-FNDE-SPM,533.FN530,2026-04-22,0.303
81,,533.FN530,2026-04-22,0.493
82,,533.FN364,2026-04-22,0.046
83,,533.FN364,2026-04-22,0.134
84,,533.FN364,2026-04-22,0.474
85,,533.FN364,2026-04-22,0.252
86,,533.MD302,2026-04-22,0.521
87,,533.MD302,2026-04-22,0.252
88,,533.MD302,2026-04-22,0.313
89,,533.MD302,2026-04-22,0.225
90,,533.MD302,2026-04-22,0.281
91,,533.MD302,2026-04-22,0.261
92,Vb-533.BE220-MNDE-SPM,533.BE220,2026-04-22,0.104
93,Vb-533.BE220-MDE-SPM,533.BE220,2026-04-22,0.038
94,,533.BE220,2026-04-22,0.138
95,,533.BE220,2026-04-22,0.268
96,Vb-534.MD140-MNDE-SPM,534.MD140,2026-04-27,0.151
97,Vb-534.MD140-MDE-SPM,534.MD140,2026-04-27,0.555
98,Vb-534.MD140-S1DE-SPM,534.MD140,2026-04-27,0.121
99,Vb-534.MD140-S1NDE-SPM,534.MD140,2026-04-27,0.116
100,Vb-534.MD140-S2DE-SPM,534.MD140,2026-04-27,0.116
101,Vb-534.MD140-S2NDE-SPM,534.MD140,2026-04-27,0.09
102,Vb-534.MD140-S3DE-SPM,534.MD140,2026-04-27,0.072
103,Vb-534.MD140-S3NDE-SPM,534.MD140,2026-04-27,0.061
104,Vb-534.MD140-S4DE-SPM,534.MD140,2026-04-27,0.078
105,Vb-534.MD140-S4NDE-SPM,534.MD140,2026-04-27,0.437
106,Vb-534.FN350-MNDE-SPM,534.FN350,2026-04-27,0.142
107,Vb-534.FN350-MDE-SPM,534.FN350,2026-04-27,0.277
108,Vb-534.FN350-FNDE-SPM,534.FN350,2026-04-27,1.442
109,,534.FN350,2026-04-27,0.196
110,,534.FN364,2026-04-27,0.08
111,,534.FN364,2026-04-27,0.101
112,,534.FN364,2026-04-27,0.365
113,,534.FN364,2026-04-27,0.604
114,Vb-534.FN530-MNDE-SPM,534.FN530,2026-04-27,0.108
115,Vb-534.FN530-MDE-SPM,534.FN530,2026-04-27,0.298
116,Vb-534.FN530-FNDE-SPM,534.FN530,2026-04-27,0.353
117,,534.FN530,2026-04-27,1.684
118,Vb-534.BE220-MNDE-SPM,534.BE220,2026-04-27,0.063
119,Vb-534.BE220-MDE-SPM,534.BE220,2026-04-27,0.041
120,,534.BE220,2026-04-27,0.156
121,,534.BE220,2026-04-27,0.156
122,,534.MD302,2026-04-27,0.384
123,,534.MD302,2026-04-27,0.128
124,,534.MD302,2026-04-27,0.183
125,,534.MD302,2026-04-27,0.095
126,,534.MD302,2026-04-27,0.154
127,,534.MD302,2026-04-27,0.11
128,Vb-641.FN.952-MNDE-SPM,641.FN952,2026-04-27,0.099
129,Vb-641.FN.952-MDE-SPM,641.FN952,2026-04-27,0.128
130,Vb-641.FN.952-FNDE-SPM,641.FN952,2026-04-27,1.049
131,,641.FN952,2026-04-27,0.487
132,Vb-642.FN.952-MNDE-SPM,642.FN952,2026-04-27,0.193
133,Vb-642.FN.952-MDE-SPM,642.FN952,2026-04-27,0.214
134,Vb-642.FN.952-FNDE-SPM,642.FN952,2026-04-27,1.84
135,,642.FN952,2026-04-27,0.396
