#,VIB ID,Equipment ID,Point (unmatched only),Month,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
1,Vb-331.FN400-FDE-RMS,331.FN400,Fan inboard,2025-01,2025-01-22,1.14,,3.04,0.52
2,Vb-331.FN400-FDE-RMS,331.FN400,Fan inboard,2025-01,2025-01-29,0.35,,0.59,0.26
3,Vb-331.FN400-FDE-RMS,331.FN400,Fan inboard,2025-01,2025-01-30,0.17,,0.46,0.11
4,Vb-331.FN400-FNDE-RMS,331.FN400,Fan Outboard,2025-01,2025-01-22,,,2.69,0.55
5,Vb-331.FN400-FNDE-RMS,331.FN400,Fan Outboard,2025-01,2025-01-28,,,0.59,
6,Vb-331.FN400-FNDE-RMS,331.FN400,Fan Outboard,2025-01,2025-01-29,,,0.58,0.43
7,Vb-331.FN400-FNDE-RMS,331.FN400,Fan Outboard,2025-01,2025-01-30,0.28,,0.42,0.39
8,Vb-331.FN400-FNDE-RMS,331.FN400,Fan Outboard,2025-01,2025-01-30,0.28,,,
9,Vb-331.FN400-MDE-RMS,331.FN400,Motor DE,2025-01,2025-01-30,0.16,,0.77,0.59
10,Vb-331.FN400-MNDE-RMS,331.FN400,Motor NDE,2025-01,2025-01-30,0.15,,0.56,0.14
11,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-07,0.55,,1.8,0.53
12,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-08,0.42,,1.65,0.57
13,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-09,0.54,,1.74,0.53
14,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-15,0.32,,0.64,0.21
15,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-17,0.28,,0.66,0.31
16,Vb-441.FN.590-FDE-RMS,441.FN590,Fan inboard,2024-12,2024-12-22,0.24,,0.68,0.21
17,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-07,0.62,,4.11,3.34
18,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-08,1.16,,3.72,2.92
19,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-09,0.99,,3.89,2.02
20,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-15,0.27,,1.58,1.16
21,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-17,0.24,,1.65,1.38
22,Vb-441.FN.590-FNDE-RMS,441.FN590,Fan Outboard,2024-12,2024-12-22,0.24,,1.38,0.94
23,Vb-441.FN.590-MDE-RMS,441.FN590,Motor DE,2024-12,2024-12-15,0.43,,0.73,0.47
24,Vb-441.FN.590-MDE-RMS,441.FN590,Motor DE,2024-12,2024-12-17,0.42,,0.78,0.48
25,Vb-441.FN.590-MNDE-RMS,441.FN590,Motor NDE,2024-12,2024-12-09,0.37,,2.12,0.26
26,Vb-441.FN.590-MNDE-RMS,441.FN590,Motor NDE,2024-12,2024-12-15,0.27,,0.51,0.36
27,Vb-441.FN.590-MNDE-RMS,441.FN590,Motor NDE,2024-12,2024-12-17,0.29,,0.54,0.39
28,Vb-441.FN.590-S1DE-RMS,441.FN590,Shaft 1 inboard,2024-12,2024-12-15,0.41,,0.6,0.48
29,Vb-441.FN.590-S1DE-RMS,441.FN590,Shaft 1 inboard,2024-12,2024-12-17,0.49,,0.64,0.29
30,Vb-441.FN.590-S1NDE-RMS,441.FN590,Shaft 1 outboard,2024-12,2024-12-15,0.39,,0.61,0.5
31,Vb-441.FN.590-S1NDE-RMS,441.FN590,Shaft 1 outboard,2024-12,2024-12-17,0.33,,0.61,0.46
32,Vb-441.FN.590-S2DE-RMS,441.FN590,Shaft 2 inboard,2024-12,2024-12-15,0.64,,0.78,0.62
33,Vb-441.FN.590-S2NDE-RMS,441.FN590,Shaft 2 outboard,2024-12,2024-12-15,1.56,,0.59,1.74
34,Vb-532.MD302-MDE-RMS,532.MD302,Motor DE,2025-08,2025-08-26,0.97,,1.16,1
35,Vb-532.MD302-MNDE-RMS,532.MD302,Motor NDE,2025-08,2025-08-26,0.89,,0.8,0.81
