#,VIB ID,Equipment ID,Point (unmatched only),Month,Date 1,Axial 1 (mm/s),Gear 1 (mm/s),Horizontal 1 (mm/s),Vertical 1 (mm/s),Date 2,Axial 2 (mm/s),Gear 2 (mm/s),Horizontal 2 (mm/s),Vertical 2 (mm/s),Date 3,Axial 3 (mm/s),Gear 3 (mm/s),Horizontal 3 (mm/s),Vertical 3 (mm/s)
1,Vb-111.CP400-CDE-RMS,111.CP400,,2025-02,2025-02-27,2.59,,2.21,2.48,,,,,,,,,,
2,Vb-111.CP400-CNDE-RMS,111.CP400,,2025-02,2025-02-27,3.38,,4.17,1.83,,,,,,,,,,
3,Vb-111.CP400-MDE-RMS,111.CP400,,2025-02,2025-02-27,1.71,,3.84,5.88,,,,,,,,,,
4,Vb-111.CP400-MNDE-RMS,111.CP400,,2025-02,2025-02-27,1.29,,2.08,3.04,,,,,,,,,,
5,Vb-111.CP400-CDE-RMS,111.CP400,,2025-04,2025-04-17,2.59,,3.39,2.88,,,,,,,,,,
6,Vb-111.CP400-CNDE-RMS,111.CP400,,2025-04,2025-04-17,2.47,,3.85,1.95,,,,,,,,,,
7,Vb-111.CP400-MDE-RMS,111.CP400,,2025-04,2025-04-17,2.61,,3.67,3.61,,,,,,,,,,
8,Vb-111.CP400-MNDE-RMS,111.CP400,,2025-04,2025-04-17,2.17,,2.1,2.7,,,,,,,,,,
9,Vb-111.CP400-CDE-RMS,111.CP400,,2025-06,2025-06-17,2.42,,3.57,3.29,,,,,,,,,,
10,Vb-111.CP400-CNDE-RMS,111.CP400,,2025-06,2025-06-17,2.92,,4.9,3.68,,,,,,,,,,
11,Vb-111.CP400-MDE-RMS,111.CP400,,2025-06,2025-06-17,2.03,,3.86,3.93,,,,,,,,,,
12,Vb-111.CP400-MNDE-RMS,111.CP400,,2025-06,2025-06-17,2.31,,1.79,3.15,,,,,,,,,,
13,Vb-111.CP400-CDE-RMS,111.CP400,,2026-03,2026-03-15,6.99,,4.83,4.24,,,,,,,,,,
14,Vb-111.CP400-CNDE-RMS,111.CP400,,2026-03,2026-03-15,7.01,,5.35,6.6,,,,,,,,,,
15,Vb-111.CP400-MDE-RMS,111.CP400,,2026-03,2026-03-15,10.66,,9.8,9.77,,,,,,,,,,
16,Vb-111.CP400-MNDE-RMS,111.CP400,,2026-03,2026-03-15,8.96,,4.82,5.2,,,,,,,,,,
17,Vb-111.HC100-MDE-RMS,111.HC100,,2025-02,2025-02-27,0.85,,1.32,1.35,,,,,,,,,,
18,Vb-111.HC100-MNDE-RMS,111.HC100,,2025-02,2025-02-27,0.72,,0.7,0.36,,,,,,,,,,
19,Vb-111.HC100-RDE-RMS,111.HC100,,2025-02,2025-02-27,0.37,,0.34,0.48,,,,,,,,,,
20,Vb-111.HC100-RNDE-RMS,111.HC100,,2025-02,2025-02-27,0.16,,0.27,0.09,,,,,,,,,,
21,Vb-111.HC100-S1DE-RMS,111.HC100,,2025-02,2025-02-27,0.67,,1.09,0.76,,,,,,,,,,
22,Vb-111.HC100-S1NDE-RMS,111.HC100,,2025-02,2025-02-27,0.54,,0.92,0.53,,,,,,,,,,
23,Vb-111.HC100-S2DE-RMS,111.HC100,,2025-02,2025-02-27,0.3,,0.5,0.2,,,,,,,,,,
24,Vb-111.HC100-S2NDE-RMS,111.HC100,,2025-02,2025-02-27,1.25,,0.28,0.44,,,,,,,,,,
25,Vb-111.HC100-MDE-RMS,111.HC100,,2025-04,2025-04-17,0.69,,1.49,1.84,,,,,,,,,,
26,Vb-111.HC100-MNDE-RMS,111.HC100,,2025-04,2025-04-17,0.68,,0.82,0.76,,,,,,,,,,
27,Vb-111.HC100-RDE-RMS,111.HC100,,2025-04,2025-04-17,0.4,,0.58,0.55,,,,,,,,,,
28,Vb-111.HC100-RNDE-RMS,111.HC100,,2025-04,2025-04-17,0.4,,0.47,0.26,,,,,,,,,,
29,Vb-111.HC100-S1DE-RMS,111.HC100,,2025-04,2025-04-17,0.73,,1.22,0.71,,,,,,,,,,
30,Vb-111.HC100-S1NDE-RMS,111.HC100,,2025-04,2025-04-17,0.69,,1.23,0.77,,,,,,,,,,
31,Vb-111.HC100-S2DE-RMS,111.HC100,,2025-04,2025-04-17,0.73,,0.95,0.98,,,,,,,,,,
32,Vb-111.HC100-S2NDE-RMS,111.HC100,,2025-04,2025-04-17,0.75,,1.11,0.76,,,,,,,,,,
33,Vb-111.HC100-MDE-RMS,111.HC100,,2025-06,2025-06-17,0.89,,1.94,1.54,,,,,,,,,,
34,Vb-111.HC100-MNDE-RMS,111.HC100,,2025-06,2025-06-17,0.49,,1.72,0.38,,,,,,,,,,
35,Vb-111.HC100-RDE-RMS,111.HC100,,2025-06,2025-06-17,1.65,,2.15,1.85,,,,,,,,,,
