Equipment ID,Asset ID (point),Date,Original row #
351.BL115,BL DE,2024-12-15,4
351.BL115,BL DE,2025-01-27,5
351.BL115,BL NDE,2024-12-15,6
351.BL115,BL NDE,2025-01-27,7
351.BL115,Motor DE,2024-12-15,8
351.BL115,Motor DE,2025-01-27,9
351.BL115,Motor NDE,2024-12-15,10
351.BL115,Motor NDE,2025-01-27,11
341.BE040,Shaft 1 inboard,2024-12-11,70
341.BE040,Shaft 2 inboard,2024-12-11,71
342.BE041,Shaft 1 inboard,2024-12-11,75
342.BE041,Shaft 2 inboard,2024-12-11,76
532.BE220,Shaft 1 inboard  DE,2024-12-22,93
532.BE220,Shaft 2  inboard  DE,2024-12-22,94
532.BE220,Shaft 2  outboard NDE,2024-12-22,95
461.CP525,Compressor DE,2024-12-11,367
461.CP525,Compressor NDE,2024-12-11,368
461.CP525,Motor DE,2024-12-11,369
461.CP525,Motor NDE,2024-12-11,370
331.FN400,Shaft 1 inboard,2024-12-05,401
331.FN400,Shaft 1 inboard,2025-01-30,402
331.FN400,Shaft 1 outboard,2024-12-05,403
331.FN400,Shaft 1 outboard,2025-01-30,404
331.FN400,Shaft 2 inboard,2024-12-05,405
331.FN400,Shaft 2 inboard,2025-01-30,406
331.FN400,Shaft 2 outboard,2024-12-05,407
331.FN400,Shaft 2 outboard,2025-01-30,408
641.BE050,Shaft 1 inboard  DE,2024-12-16,519
641.BE050,Shaft 2  inboard  DE,2024-12-16,520
641.BE050,Shaft 2  outboard NDE,2024-12-16,521
642.BE050,Shaft 1 inboard  DE,2024-12-16,524
642.BE050,Shaft 2  inboard  DE,2024-12-16,525
642.BE050,Shaft 2  outboard NDE,2024-12-16,526
643.BE050,Shaft 1 inboard  DE,2024-12-22,529
643.BE050,Shaft 2  inboard  DE,2024-12-22,530
643.BE050,Shaft 2  outboard NDE,2024-12-22,531
644.BE050,Shaft 1 inboard  DE,2024-12-17,534
644.BE050,Shaft 2  inboard  DE,2024-12-17,535
644.BE050,Shaft 2  outboard NDE,2024-12-17,536
645.BE050,Shaft 1 inboard  DE,2024-12-17,539
645.BE050,Shaft 2  inboard  DE,2024-12-17,540
645.BE050,Shaft 2  outboard NDE,2024-12-17,541
646.BE050,Shaft 1 inboard  DE,2024-12-17,544
646.BE050,Shaft 2  inboard  DE,2024-12-17,545
646.BE050,Shaft 2  outboard NDE,2024-12-17,546
352.BL115,BL DE,2024-12-25,688
352.BL115,BL NDE,2024-12-25,689
352.BL115,Motor DE,2024-12-25,690
352.BL115,Motor NDE,2024-12-25,691
534.BE220,Shaft 1 inboard  DE,2024-12-16,762
534.BE220,Shaft 2  inboard  DE,2024-12-16,763
534.BE220,Shaft 2  outboard NDE,2024-12-16,764
743.CP115,Compressor DE,2025-01-12,977
743.CP115,Compressor NDE,2025-01-12,978
743.CP115,Motor DE,2025-01-12,979
743.CP115,Motor NDE,2025-01-12,980
332.FN400,Shaft 1 inboard,2024-12-25,1005
332.FN400,Shaft 1 inboard,2025-01-13,1006
332.FN400,Shaft 1 outboard,2024-12-25,1007
332.FN400,Shaft 1 outboard,2025-01-13,1008
332.FN400,Shaft 2 inboard,2024-12-25,1009
332.FN400,Shaft 2 inboard,2025-01-13,1010
332.FN400,Shaft 2 outboard,2024-12-25,1011
332.FN400,Shaft 2 outboard,2025-01-13,1012
322.MD152,Motor DE,2025-01-01,1129
322.MD152,Motor NDE,2025-01-01,1130
322.MD152,Shaft 1 inboard DE,2025-01-01,1131
322.MD152,Shaft 1 Outboard NDE,2025-01-01,1132
322.MD152,Shaft 2 inboard DE,2025-01-01,1133
322.MD152,Shaft 2  outboard NDE,2025-01-01,1134
