Equipment ID,Equipment Name,Name Plate,Eq Type,Line,Points,RMS Good,RMS Acceptable,RMS Alarm
111.CP400,Crusher Compressor,,Compressor,Line1,"Compressor DE, Compressor NDE, Motor DE, Motor NDE",2.8,7.1,18
111.HC100,Limestone Crusher,,Crusher,Line1,"Motor DE, Motor NDE, Rotor inboard, Rotor Outboard, Shaft 1 inboard, Shaft 1 outboard, Shaft 2 inboard, Shaft 2 outboard",2.8,7.1,18
213.HC100,Hammer crusher,,Hammer crusher,CM2,"Crusher DE; Crusher Inboard Axial; Crusher Inboard Horizontal; Crusher Inboard Vertical, Crusher NDE; Crusher Outboard Axial; Crusher Outboard Horizontal; Crusher Outboard Vertical, Motor DE; Motor Inboard Axial; Motor Inboard Horizontal; Motor Inboard Vertical, Motor NDE; Motor Outboard Axial; Motor Outboard Horizontal; Motor Outboard Vertical",2.8,7.1,18
321.FN125,Sealing Air Fan,,Fan,Line1,"Fan DE, Fan NDE, Motor DE, Motor NDE",2.8,7.1,18
321.FN400,Raw Mill Fan,,Fan,Line1,"Fan DE, Fan NDE, Motor DE, Motor NDE",2.8,7.1,18
321.MD140,Raw Mill Drive,,Gearbox,Line1,"GB HSS 0, GB HSS 1, GB HSS 6, Motor DE, Motor NDE, Rim Gear 2, Rim Gear 3, Rim Gear 4, Rim Gear 5",2.8,7.1,18
321.MD152,Raw Mill Separator Main Drive,,Gearbox,Line1,"Motor DE, Motor NDE, Shaft 1 inboard DE, Shaft 1 Outboard NDE, Shaft 2 inboard DE, Shaft 2 inboard NDE",2.8,7.1,18
322.FN125,Sealing Air Fan,,Fan,Line2,"Fan DE, Fan NDE, Motor DE, Motor NDE",2.8,7.1,18
322.FN400,Raw Mill Fan,,Fan,Line2,"Fan DE, Fan NDE, Motor DE, Motor NDE",2.8,7.1,18
322.MD140,Raw Mill Drive,,Gearbox,Line2,"GB HSS 0, GB HSS 1, GB HSS 6, Motor DE, Motor NDE, Rim Gear 2, Rim Gear 3, Rim Gear 4, Rim Gear 5",2.8,7.1,18
