#,VIB ID,Equipment ID,Point (unmatched only),Month,Date 1,HDm 1 (dBsv),HDc 1 (dBsv),Date 2,HDm 2 (dBsv),HDc 2 (dBsv)
1,Vb-111.CP400-MDE-SPM-A,111.CP400,,2025-04,2025-04-17,30,11,,,
2,Vb-111.CP400-MNDE-SPM-B,111.CP400,,2025-04,2025-04-17,26,8,,,
3,Vb-111.CP400-CDE-SPM-5,111.CP400,,2025-06,2025-06-17,16,6,,,
4,Vb-111.CP400-CDE-SPM-7,111.CP400,,2025-06,2025-06-17,21,13,,,
5,Vb-111.CP400-CNDE-SPM-1,111.CP400,,2025-06,2025-06-17,23,15,,,
6,Vb-111.CP400-MDE-SPM-A,111.CP400,,2025-06,2025-06-17,25,8,,,
7,Vb-111.CP400-MNDE-SPM-B,111.CP400,,2025-06,2025-06-17,21,9,,,
8,Vb-111.CP400-CDE-SPM-5,111.CP400,,2026-03,2026-03-15,30,8.5,,,
9,Vb-111.CP400-CDE-SPM-7,111.CP400,,2026-03,2026-03-15,22,6.6,,,
10,Vb-111.CP400-CNDE-SPM-1,111.CP400,,2026-03,2026-03-15,24.3,11,,,
11,Vb-111.CP400-MDE-SPM-A,111.CP400,,2026-03,2026-03-15,30.8,10.4,,,
12,Vb-111.CP400-MNDE-SPM-B,111.CP400,,2026-03,2026-03-10,27.2,0.8,,,
13,Vb-111.HC100-MDE-SPM,111.HC100,,2025-04,2025-04-17,26,-11,,,
14,Vb-111.HC100-MNDE-SPM,111.HC100,,2025-04,2025-04-17,4,-15,,,
15,Vb-111.HC100-RDE-SPM,111.HC100,,2025-04,2025-04-17,24,-10,,,
16,Vb-111.HC100-RNDE-SPM,111.HC100,,2025-04,2025-04-17,18,-10,,,
17,Vb-111.HC100-S1DE-SPM,111.HC100,,2025-04,2025-04-17,9,-24,,,
18,Vb-111.HC100-S1NDE-SPM,111.HC100,,2025-04,2025-04-17,12,-26,,,
19,Vb-111.HC100-S2DE-SPM,111.HC100,,2025-04,2025-04-17,20,-14,,,
20,Vb-111.HC100-S2NDE-SPM,111.HC100,,2025-04,2025-04-17,21,-16,,,
21,Vb-111.HC100-MDE-SPM,111.HC100,,2025-06,2025-06-17,17,-14,,,
