#,VIB ID,Equipment ID,Point (unmatched only),Date,HDm (dBsv),HDc (dBsv)
1,Vb-531.MD140-MDE-SPM,531.MD140,,2025-01-06,25,1
2,Vb-531.MD140-MNDE-SPM,531.MD140,,2025-01-06,17,-8
3,Vb-531.MD140-S1DE-SPM,531.MD140,,2025-01-06,16,-8
4,Vb-531.MD140-S1NDE-SPM,531.MD140,,2025-01-06,28,0
5,Vb-531.MD140-S2DE-SPM,531.MD140,,2025-01-06,19,-6
6,Vb-531.MD140-S2NDE-SPM,531.MD140,,2025-01-06,20,-2
7,Vb-531.MD140-S3DE-SPM,531.MD140,,2025-01-06,46,-4
8,Vb-531.MD140-S3NDE-SPM,531.MD140,,2025-01-06,33,1
9,Vb-531.MD140-S4DE-SPM,531.MD140,,2025-01-06,21,-1
10,Vb-531.MD140-S4NDE-SPM,531.MD140,,2025-01-06,34,2
11,Vb-532.MD140-MDE-SPM,532.MD140,,2025-01-06,19,6
12,Vb-532.MD140-MNDE-SPM,532.MD140,,2025-01-06,20,6
13,Vb-532.MD140-S1DE-SPM,532.MD140,,2025-01-06,13,-9
14,Vb-532.MD140-S1NDE-SPM,532.MD140,,2025-01-06,18,-5
15,Vb-532.MD140-S2DE-SPM,532.MD140,,2025-01-06,16,-4
16,Vb-532.MD140-S2NDE-SPM,532.MD140,,2025-01-06,21,-1
17,Vb-532.MD140-S3DE-SPM,532.MD140,,2025-01-06,33,-4
18,Vb-532.MD140-S3NDE-SPM,532.MD140,,2025-01-06,35,-4
19,Vb-532.MD140-S4DE-SPM,532.MD140,,2025-01-06,35,-1
20,Vb-532.MD140-S4NDE-SPM,532.MD140,,2025-01-06,32,1
21,Vb-644.FN.952-FDE-SPM,644.FN952,,2025-01-07,22,13
22,Vb-644.FN.952-FNDE-SPM,644.FN952,,2025-01-07,33,17
23,Vb-644.FN.952-MDE-SPM,644.FN952,,2025-01-07,31,15
24,Vb-644.FN.952-MNDE-SPM,644.FN952,,2025-01-07,18,0
25,Vb-645.FN.952-FDE-SPM,645.FN952,,2025-01-07,16,8
26,Vb-645.FN.952-FNDE-SPM,645.FN952,,2025-01-07,17,7
27,Vb-645.FN.952-MDE-SPM,645.FN952,,2025-01-07,21,0
28,Vb-645.FN.952-MNDE-SPM,645.FN952,,2025-01-07,17,-4
29,Vb-646.FN.952-FDE-SPM,646.FN952,,2025-01-07,25,17
30,Vb-646.FN.952-FNDE-SPM,646.FN952,,2025-01-07,39,5
31,Vb-646.FN.952-MDE-SPM,646.FN952,,2025-01-07,19,3
32,Vb-646.FN.952-MNDE-SPM,646.FN952,,2025-01-07,14,-5
33,Vb-531.FN530-FDE-SPM,531.FN530,,2025-01-06,20,14
34,Vb-531.FN530-FNDE-SPM,531.FN530,,2025-01-06,20,13
35,Vb-531.FN530-MDE-SPM,531.FN530,,2025-01-06,5,-13
36,Vb-531.FN530-MNDE-SPM,531.FN530,,2025-01-06,-4,-18
37,Vb-532.FN530-FDE-SPM,532.FN530,,2025-01-06,15,7
38,Vb-532.FN530-FNDE-SPM,532.FN530,,2025-01-06,18,12
