Equipment ID,Asset ID (point),Type,Date,Original row #
744.CP113,Compressor DE,5,2025-01-07,104
744.CP113,Compressor NDE,1,2025-01-07,105
744.CP113,Motor DE,A,2025-01-07,106
744.CP113,Motor NDE,B,2025-01-07,107
533.MD302,Motor DE,SPM,2025-01-10,120
533.MD302,Motor NDE,SPM,2025-01-10,121
533.MD302,Shaft 1 inboard DE,SPM,2025-01-10,122
533.MD302,Shaft 1 Outboard NDE,SPM,2025-01-10,123
533.MD302,Shaft 2 inboard DE,SPM,2025-01-10,124
533.MD302,Shaft 2 outboard NDE,SPM,2025-01-10,125
744.CP113,Compressor DE,5,2025-01-07,245
744.CP113,Compressor NDE,1,2025-01-07,246
744.CP113,Motor DE,A,2025-01-07,247
744.CP113,Motor NDE,B,2025-01-07,248
533.MD302,Motor DE,SPM,2025-01-10,261
533.MD302,Motor NDE,SPM,2025-01-10,262
533.MD302,Shaft 1 inboard DE,SPM,2025-01-10,263
533.MD302,Shaft 1 Outboard NDE,SPM,2025-01-10,264
533.MD302,Shaft 2 inboard DE,SPM,2025-01-10,265
533.MD302,Shaft 2 outboard NDE,SPM,2025-01-10,266
645.BL585,BL DE,SPM,2025-05-12,284
645.BL585,BL NDE,SPM,2025-05-12,285
645.BL585,Motor DE,SPM,2025-05-12,286
645.BL585,Motor NDE,SPM,2025-05-12,287
461.CP525,Compressor DE,5,2025-04-15,443
461.CP525,Compressor NDE,1,2025-04-15,444
461.CP525,Motor DE,A,2025-04-15,445
461.CP525,Motor NDE,B,2025-04-15,446
641.BE050,BE Bearing SPM Inboard,SPM Inboard,2025-04-27,514
641.BE050,BE Bearing SPM Outboard,SPM Inboard,2025-04-27,515
642.BE050,BE Bearing SPM Inboard,SPM Inboard,2025-04-27,520
642.BE050,BE Bearing SPM Outboard,SPM Inboard,2025-04-27,521
643.BE050,BE Bearing SPM Inboard,SPM Inboard,2025-04-27,526
643.BE050,BE Bearing SPM Outboard,SPM Inboard,2025-04-27,527
744.CP113,Compressor DE,5,2025-05-06,732
744.CP113,Compressor NDE,1,2025-05-06,733
744.CP113,Motor DE,A,2025-05-06,734
744.CP113,Motor NDE,B,2025-05-06,735
462.CP.535,Compressor DE,5,2025-04-16,741
462.CP.535,Compressor NDE,1,2025-04-16,742
