Equipment ID,Equipment Name,Line,Points,SPM Type,SPM Normal,SPM Caution,SPM Alarm
111.CP400,Crusher Compressor,Line1,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
111.HC100,Limestone Crusher,Line1,"Motor DE (SPM), Motor NDE (SPM), Rotor inboard (SPM), Rotor Outboard (SPM), Shaft 1 inboard (SPM), Shaft 1 outboard (SPM), Shaft 2 inboard (SPM), Shaft 2 outboard (SPM)",SPM,20,35,50
213.HC100,Hammer crusher,CM2,"Crusher DE (SPM), Crusher NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
321.FN125,Sealing Air Fan,Line1,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
321.FN400,Raw Mill Fan,Line1,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
321.MD140,Raw Mill Drive,Line1,"GB HSS (SPM), Motor DE (SPM), Motor NDE (100 Orders, 6400 Lines)",SPM,20,35,50
321.MD152,Raw Mill Separator Main Drive,Line1,"Motor DE (SPM), Motor NDE (SPM), Shaft 1 inboard DE (SPM), Shaft 1 Outboard NDE (SPM), Shaft 2 inboard DE (SPM), Shaft 2 inboard NDE (SPM)",SPM,20,35,50
322.FN125,Sealing Air Fan,Line2,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
322.FN400,Raw Mill Fan,Line2,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
322.MD140,Raw Mill Drive,Line2,"Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
331.CP280,GCT Compressor,Line1,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
331.CP281,GCT Compressor,Line1,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
331.CP282,GCT Compressor,Line1,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
331.FN110,ID FAN,Line1,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
331.FN400,Ep Filter Fan,Line1,"Fan inboard (SPM), Fan Outboard (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
331.WI210,Condition Tower m01,Line1,"Motor Inboard (SPM), Motor Outboard (SPM), Pump Inboard (SPM), Pump outboard (SPM)",SPM,20,35,50
331.WI211,Condition Tower m02,Line1,"Motor Inboard (SPM), Motor Outboard (SPM), Pump Inboard (SPM), Pump outboard (SPM)",SPM,20,35,50
332.CP281,GCT Compressor,Line2,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
332.CP282,GCT Compressor,Line2,"Compressor DE (5), Compressor DE (7), Compressor NDE (1), Motor DE (A), Motor NDE (B)",SPM,20,35,50
332.FN110,ID FAN,Line2,"Fan DE (SPM), Fan NDE (SPM), Motor DE (Spm), Motor NDE (SPM)",SPM,20,35,50
332.FN400,Ep Filter Fan,Line2,"Fan inboard (SPM), Fan Outboard (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
332.WI210,Condition Tower m01,Line2,"Motor Inboard (SPM), Motor Outboard (SPM), Pump Inboard (SPM), Pump outboard (SPM)",SPM,20,35,50
332.WI211,Condition Tower m02,Line2,"Motor Inboard (SPM), Motor Outboard (SPM), Pump Inboard (SPM), Pump outboard (SPM)",SPM,20,35,50
341.BE040,Bucket elevator m01,Line1,"Motor DE (SPM), Motor NDE (SPM), Shaft 1 outboard (SPM), Shaft 2 outboard (SPM), Shaft#3 inboard (SPM), Shaft#3 outboard (SPM)",SPM,20,35,50
341.BL300,CF Silo Blower,Line1,"BL DE (SPM), BL NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
341.BL305,CF Silo Blower,Line1,"BL DE (SPM), BL NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
341.BL310,CF Silo Blower,Line1,"BL DE (SPM), BL NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
341.FN315,CF Silo Areation,Line1,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
341.FN316,CF Silo Areation standby,Line1,"Fan DE (SPM), Fan NDE (SPM), Motor DE (SPM), Motor NDE (SPM)",SPM,20,35,50
342.BE041,Bucket elevator m02,Line2,"Motor DE (SPM), Motor NDE (SPM), Shaft 1 outboard (SPM), Shaft 2 outboard (SPM), Shaft#3 inboard (SPM), Shaft#3 outboard (SPM)",SPM,20,35,50
