VIB ID,Equipment ID,Position Code,Family,Point Description,Status
Vb-111.CP400-CDE-RMS,111.CP.400,CDE,RMS,Compressor DE,Active
Vb-111.CP400-CDE-SPM-5,111.CP.400,CDE,SPM,Compressor DE (5),Active
Vb-111.CP400-CDE-SPM-7,111.CP.400,CDE,SPM,Compressor DE (7),Active
Vb-111.CP400-CNDE-RMS,111.CP.400,CNDE,RMS,Compressor NDE,Active
Vb-111.CP400-CNDE-SPM-1,111.CP.400,CNDE,SPM,Compressor NDE (1),Active
Vb-111.CP400-MDE-RMS,111.CP.400,MDE,RMS,Motor DE,Active
Vb-111.CP400-MDE-SPM-A,111.CP.400,MDE,SPM,Motor DE (A),Active
Vb-111.CP400-MNDE-RMS,111.CP.400,MNDE,RMS,Motor NDE,Active
Vb-111.CP400-MNDE-SPM-B,111.CP.400,MNDE,SPM,Motor NDE (B),Active
Vb-111.HC100-MDE-RMS,111.HC.100,MDE,RMS,Motor DE,Active
Vb-111.HC100-MDE-SPM,111.HC.100,MDE,SPM,Motor DE (SPM),Active
Vb-111.HC100-MNDE-RMS,111.HC.100,MNDE,RMS,Motor NDE,Active
Vb-111.HC100-MNDE-SPM,111.HC.100,MNDE,SPM,Motor NDE (SPM),Active
Vb-111.HC100-RDE-RMS,111.HC.100,RDE,RMS,Rotor inboard,Active
Vb-111.HC100-RDE-SPM,111.HC.100,RDE,SPM,Rotor inboard (SPM),Active
Vb-111.HC100-RNDE-RMS,111.HC.100,RNDE,RMS,Rotor Outboard,Active
Vb-111.HC100-RNDE-SPM,111.HC.100,RNDE,SPM,Rotor Outboard (SPM),Active
Vb-111.HC100-S1DE-RMS,111.HC.100,S1DE,RMS,Shaft 1 inboard,Active
Vb-111.HC100-S1DE-SPM,111.HC.100,S1DE,SPM,Shaft 1 inboard (SPM),Active
Vb-111.HC100-S1NDE-RMS,111.HC.100,S1NDE,RMS,Shaft 1 outboard,Active
Vb-111.HC100-S1NDE-SPM,111.HC.100,S1NDE,SPM,Shaft 1 outboard (SPM),Active
Vb-111.HC100-S2DE-RMS,111.HC.100,S2DE,RMS,Shaft 2 inboard,Active
Vb-111.HC100-S2DE-SPM,111.HC.100,S2DE,SPM,Shaft 2 inboard (SPM),Active
